DRG;DESCRIPTION
869;OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
870;SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
871;SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MAJOR COMPLICATION OR COMORBIDITY
872;SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
876;O.R. PROCEDURE WITH PRINCIPAL DIAGNOSES OF MENTAL ILLNESS
880;ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION
881;DEPRESSIVE NEUROSES
882;NEUROSES EXCEPT DEPRESSIVE
883;DISORDERS OF PERSONALITY AND IMPULSE CONTROL
884;ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY
885;PSYCHOSES
886;BEHAVIORAL AND DEVELOPMENTAL DISORDERS
887;OTHER MENTAL DISORDER DIAGNOSES
894;ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA
895;ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY
896;ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MAJOR COMPLICATION OR COMORBIDITY
897;ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
901;WOUND DEBRIDEMENTS FOR INJURIES WITH MAJOR COMPLICATION OR COMORBIDITY
902;WOUND DEBRIDEMENTS FOR INJURIES WITH COMPLICATION OR COMORBIDITY
903;WOUND DEBRIDEMENTS FOR INJURIES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
904;SKIN GRAFTS FOR INJURIES WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
905;SKIN GRAFTS FOR INJURIES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
906;HAND PROCEDURES FOR INJURIES
907;OTHER O.R. PROCEDURES FOR INJURIES WITH MAJOR COMPLICATION OR COMORBIDITY
908;OTHER O.R. PROCEDURES FOR INJURIES WITH COMPLICATION OR COMORBIDITY
909;OTHER O.R. PROCEDURES FOR INJURIES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
913;TRAUMATIC INJURY WITH MAJOR COMPLICATION OR COMORBIDITY
914;TRAUMATIC INJURY WITHOUT MAJOR COMPLICATION OR COMORBIDITY
915;ALLERGIC REACTIONS WITH MAJOR COMPLICATION OR COMORBIDITY
916;ALLERGIC REACTIONS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
917;POISONING AND TOXIC EFFECTS OF DRUGS WITH MAJOR COMPLICATION OR COMORBIDITY
918;POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
919;COMPLICATIONS OF TREATMENT WITH MAJOR COMPLICATION OR COMORBIDITY
920;COMPLICATIONS OF TREATMENT WITH COMPLICATION OR COMORBIDITY
921;COMPLICATIONS OF TREATMENT WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
922;OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITH MAJOR COMPLICATION OR COMORBIDITY
923;OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MAJOR COMPLICATION OR COMORBIDITY
927;EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITH SKIN GRAFT
928;FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
929;FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
933;EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT
934;FULL THICKNESS BURN WITHOUT SKIN GRFT OR INHALATION INJURY
935;NON-EXTENSIVE BURNS
939;O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MAJOR COMPLICATION OR COMORBIDITY
940;O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH COMPLICATION OR COMORBIDITY
941;O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
945;REHABILITATION WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
946;REHABILITATION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
947;SIGNS AND SYMPTOMS WITH MAJOR COMPLICATION OR COMORBIDITY
948;SIGNS AND SYMPTOMS WITHOUT MAJOR COMPLICATION OR COMORBIDITY
949;AFTERCARE WITH COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
950;AFTERCARE WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
951;OTHER FACTORS INFLUENCING HEALTH STATUS
955;CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA
956;LIMB REATTACHMENT, HIP AND FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA
957;OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MAJOR COMPLICATION OR COMORBIDITY
958;OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH COMPLICATION OR COMORBIDITY
959;OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
963;OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MAJOR COMPLICATION OR COMORBIDITY
964;OTHER MULTIPLE SIGNIFICANT TRAUMA WITH COMPLICATION OR COMORBIDITY
965;OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
969;HIV WITH EXTENSIVE O.R. PROCEDURE WITH MAJOR COMPLICATION OR COMORBIDITY
970;HIV WITH EXTENSIVE O.R. PROCEDURE WITHOUT MAJOR COMPLICATION OR COMORBIDITY
974;HIV WITH MAJOR RELATED CONDITION WITH MAJOR COMPLICATION OR COMORBIDITY
975;HIV WITH MAJOR RELATED CONDITION WITH COMPLICATION OR COMORBIDITY
976;HIV WITH MAJOR RELATED CONDITION WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
977;HIV WITH OR WITHOUT OTHER RELATED CONDITION
981;EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
982;EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
983;EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
984;PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
985;PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
986;PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
987;NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH MAJOR COMPLICATION OR COMORBIDITY
988;NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH COMPLICATION OR COMORBIDITY
989;NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT COMPLICATION OR COMORBIDITY/MAJOR COMPLICATION OR COMORBIDITY
998;PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS
999;UNGROUPABLE
